WEC: ava. Rotation,WEC: max. Rotation,WEC: min. Rotation,WEC: ava. Power,WEC: max. Power,WEC: min. Power,WEC: ava. Nacel position including cable twisting,WEC: ava. reactive Power,WEC: max. reactive Power,WEC: min. reactive Power,WEC: ava. blade angle A,Sys 1 inverter 1 cabinet temp.,Sys 1 inverter 2 cabinet temp.,Sys 1 inverter 3 cabinet temp.,Sys 1 inverter 4 cabinet temp.,Sys 1 inverter 5 cabinet temp.,Sys 1 inverter 6 cabinet temp.,Sys 1 inverter 7 cabinet temp.,Sys 2 inverter 1 cabinet temp.,Sys 2 inverter 2 cabinet temp.,Sys 2 inverter 3 cabinet temp.,Sys 2 inverter 4 cabinet temp.,Sys 2 inverter 5 cabinet temp.,Sys 2 inverter 6 cabinet temp.,Sys 2 inverter 7 cabinet temp.,Spinner temp.,Front bearing temp.,Rear bearing temp.,Pitch cabinet blade A temp.,Pitch cabinet blade B temp.,Pitch cabinet blade C temp.,Blade A temp.,Blade B temp.,Blade C temp.,Rotor temp. 1,Rotor temp. 2,Stator temp. 1,Stator temp. 2,Nacelle ambient temp. 1,Nacelle ambient temp. 2,Nacelle temp.,Nacelle cabinet temp.,Main carrier temp.,Rectifier cabinet temp.,Yaw inverter cabinet temp.,Fan inverter cabinet temp.,Ambient temp.,Tower temp.,Control cabinet temp.,Transformer temp.,RTU: ava. Setpoint 1,Inverter averages,Inverter std dev
9.180000305,10.43999958,7.730000019,597,880,309,363,60,67,47,1.0,23,23,24,22,24,22,23,23,23,22,28,-14,0,-50,15,20,25,30,31,30,166,166,167,43,43,62,62,11,11,14,17,14,30,22,28,12,22,29,36,3050,23.36363602,1.689540029
5.670000076,6.170000076,5.179999828,29,68,8,97,47,48,46,1.0,23,23,29,29,30,30,29,30,30,30,29,-14,0,-50,21,26,30,37,37,36,166,166,166,36,36,35,35,12,12,17,21,17,34,24,29,13,19,30,41,3050,28.36363602,2.693426371
9.399999619,10.40999985,8.279999733,649,963,400,-368,53,65,41,1.0,31,32,31,31,32,32,31,32,31,31,34,-14,0,-50,22,24,29,37,37,37,166,166,166,49,49,63,62,19,18,23,26,22,36,31,36,20,31,37,45,3050,31.63636398,0.924416304
4.789999962,5.570000172,3.960000038,4,19,0,422,12,28,0,1.0,32,34,32,32,35,34,33,35,35,34,32,-14,0,-50,26,29,31,41,42,40,165,165,166,33,34,32,31,18,18,20,25,19,36,29,33,20,22,32,42,3050,33.45454407,1.29333961
6.110000134,6.650000095,5.590000153,63,123,17,-359,42,52,35,1.0,29,30,31,33,36,36,36,36,36,36,35,-14,0,-50,29,30,34,44,44,43,165,165,165,48,48,52,52,24,24,27,30,24,46,34,39,25,28,37,45,2501,34.0,2.756809711
13.84000015,15.43999958,10.43000031,2836,3159,962,-161,188,210,83,22.15999985,35,37,36,36,37,34,34,36,35,33,33,-14,0,-50,19,25,30,38,38,37,165,165,166,101,100,102,101,14,13,16,20,19,29,26,29,15,35,43,70,3050,35.09090805,1.445997715
12.23999977,13.40999985,10.89999962,1459,2028,991,-78,126,186,88,1.0,27,28,28,27,28,25,26,27,26,23,23,-14,0,-50,15,21,29,31,31,30,166,165,166,63,63,81,80,12,12,14,17,16,26,24,27,11,26,34,49,3050,26.18181801,1.834022045
6.989999771,7.309999943,6.739999771,183,234,144,140,40,40,40,1.0,20,21,21,21,28,28,27,28,28,29,27,-14,0,-50,20,24,29,36,36,35,166,165,166,48,49,51,50,10,10,19,23,17,35,25,31,9,16,28,35,3050,25.27272797,3.635681868
10.68999958,11.96000004,9.619999886,1070,1606,672,268,62,80,55,1.0,32,34,32,33,34,34,32,34,32,31,31,-14,0,-50,25,27,32,39,39,38,165,165,166,55,55,69,69,22,21,24,27,24,35,31,36,24,32,38,46,3050,32.63636398,1.206045389
12.39000034,14.43000031,10.96000004,1579,3053,1010,-104,145,278,98,1.0,29,30,30,29,30,27,27,29,28,25,25,-14,0,-50,15,20,27,32,32,31,166,166,166,66,65,77,76,11,11,14,17,17,26,24,26,12,28,37,59,3050,28.09090996,1.868397355
6.110000134,6.389999866,5.929999828,62,95,46,-58,41,50,40,1.0,18,18,25,23,24,25,24,26,25,25,24,-14,0,-50,16,20,23,33,33,32,166,165,166,25,25,23,23,8,8,12,17,12,27,20,23,9,12,22,32,3050,23.36363602,2.766685009
13.47999954,15.14000034,11.0,2577,3125,1256,-36,235,280,125,1.74000001,25,24,25,23,25,22,23,24,24,21,22,-14,0,-50,10,17,24,25,25,24,166,166,167,64,64,81,80,5,5,8,11,12,21,19,22,6,22,30,42,3050,23.45454597,1.368476272
8.430000305,9.300000191,7.769999981,436,610,313,125,42,44,34,1.0,31,33,31,32,33,32,31,33,36,37,35,-14,0,-50,20,26,30,35,35,35,166,166,166,47,47,63,62,16,16,20,23,22,32,27,33,17,28,37,46,3050,33.09090805,2.071450949
0.0,0.050000001,0.0,0,0,0,633,0,0,0,91.94000244,24,26,25,24,26,25,25,27,27,25,24,-14,0,-50,13,13,13,28,29,34,166,166,167,15,15,15,15,11,11,13,20,13,23,21,25,12,14,23,34,2501,25.27272797,1.103712797
12.19999981,13.86999989,10.78999996,1463,2386,973,-119,132,202,87,1.0,27,27,28,27,28,26,25,27,26,25,23,-14,0,-50,13,19,26,29,29,28,166,166,167,50,50,71,70,10,10,13,15,15,25,20,25,11,26,33,47,3050,26.27272797,1.489356279
9.380000114,10.23999977,8.569999695,651,920,460,35,47,61,38,1.0,24,25,24,24,25,24,24,26,26,30,28,-14,0,-50,20,25,31,37,37,35,166,165,166,45,45,46,45,11,11,16,22,16,32,24,29,12,22,30,39,3050,25.45454597,1.967924595
12.47000027,14.36999989,10.85999966,1919,3114,1143,253,111,197,76,1.0,34,33,31,33,33,30,31,31,30,27,27,-14,0,-50,19,23,28,33,33,32,166,165,166,60,60,81,80,16,16,18,20,20,29,28,31,18,30,37,52,3050,30.90909004,2.343268871
14.56999969,15.27999973,13.47999954,2991,3113,2088,-72,288,299,208,4.170000076,33,33,34,32,33,31,32,32,32,29,29,-14,0,-50,19,24,31,38,37,36,165,165,166,109,108,102,101,14,13,18,19,18,30,26,29,14,31,41,68,3050,31.81818199,1.601135969
14.56999969,15.14000034,12.02999973,2969,3112,1403,-73,287,297,146,8.210000038,29,29,30,28,30,25,27,28,28,25,25,-14,0,-50,12,20,26,32,31,30,166,165,166,94,93,95,94,5,5,11,13,13,24,21,23,6,26,36,59,3050,27.63636398,1.91168654
8.020000458,8.149999619,7.78000021,361,386,320,-45,47,49,47,1.0,25,26,25,25,27,25,25,29,31,31,30,-14,0,-50,15,22,27,30,30,29,166,166,167,41,41,60,60,11,11,14,16,14,30,21,27,13,23,32,41,3050,27.18181801,2.561959267
9.779999733,10.94999981,8.659999847,781,1193,482,-78,51,61,48,1.0,28,30,29,29,30,29,28,30,32,32,34,-14,0,-50,21,27,32,37,37,36,166,165,166,50,50,63,62,15,15,20,24,20,34,28,34,16,27,35,43,3050,30.09090996,1.868397355
10.38000011,11.11999989,9.630000114,976,1280,693,-148,87,92,77,1.0,28,29,27,29,29,27,27,28,26,25,24,-14,0,-50,15,21,26,30,31,30,166,166,166,48,48,66,66,12,12,15,18,16,28,23,27,13,26,33,44,3050,27.18181801,1.662418842
7.949999809,9.100000381,7.380000114,351,580,234,-446,50,54,41,1.0,26,27,25,26,27,25,25,29,27,26,29,-14,0,-50,15,21,26,30,30,29,166,166,167,41,41,62,62,11,11,14,16,14,29,22,27,12,23,32,42,3050,26.54545403,1.439696908
10.27000046,12.22999954,8.890000343,943,1774,530,-457,106,165,88,1.0,34,33,34,32,33,32,33,33,33,31,32,-14,0,-50,17,22,27,35,34,33,166,166,166,72,71,83,82,14,14,16,19,17,28,26,28,14,24,36,66,3050,32.72727203,0.904534042
7.309999943,8.489999771,6.849999905,223,442,55,603,42,51,42,1.0,28,29,28,28,30,33,33,35,34,35,33,-14,0,-50,20,25,31,36,36,35,166,165,166,45,45,57,57,15,15,19,23,19,36,27,32,17,26,36,43,3050,31.45454597,2.87623477
7.449999809,8.449999809,6.909999847,254,435,165,85,45,54,37,1.0,24,26,25,25,26,26,28,31,30,31,30,-14,0,-50,22,25,30,38,38,37,166,165,166,49,49,59,58,17,17,22,24,19,39,28,34,17,23,32,39,3050,27.45454597,2.621588707
12.02999973,12.76000023,11.53999996,1708,2042,1477,283,93,101,88,1.0,30,30,29,29,30,28,29,28,28,26,26,-14,0,-50,14,21,26,29,29,28,166,166,167,50,50,73,73,11,11,14,16,16,25,23,26,10,27,35,48,3050,28.45454597,1.439696908
0.0,0.039999999,0.0,0,0,0,-125,0,0,0,91.97000122,23,25,23,23,25,23,23,25,25,24,22,-14,0,-50,13,12,12,26,35,27,166,166,167,14,15,14,14,11,11,16,26,12,25,21,25,13,13,22,32,2501,23.72727203,1.103712797
11.0,11.46000004,10.56999969,1236,1437,1051,282,57,58,56,1.0,30,30,30,30,31,29,30,29,29,27,28,-14,0,-50,16,23,28,31,31,30,166,166,166,47,47,64,64,11,11,16,18,17,30,23,28,12,28,37,49,3050,29.36363602,1.120064974
8.470000267,9.399999619,6.96999979,443,625,176,-375,45,51,36,1.0,33,34,33,33,34,33,33,34,35,35,37,-14,0,-50,23,27,32,38,38,37,166,165,166,51,51,64,63,18,18,23,27,24,35,29,35,20,32,39,47,3050,34.0,1.264911056
13.02999973,14.39999962,11.22999954,2262,3100,1317,-4,143,198,86,1.0,32,32,32,31,33,30,31,31,31,29,29,-14,0,-50,19,25,29,32,33,32,166,165,166,64,64,81,80,15,15,17,20,19,27,27,31,21,30,38,49,3050,31.0,1.264911056
13.96000004,15.05000019,12.57999992,2887,3147,1929,224,267,287,184,3.670000076,32,32,32,30,32,28,30,30,31,27,28,-14,0,-50,17,21,28,35,34,34,166,165,166,108,107,98,97,11,11,15,18,17,28,24,27,12,30,39,64,3050,30.18181801,1.834021926
11.56999969,14.21000004,9.789999962,1522,3113,741,-417,133,276,83,1.0,29,29,28,29,29,27,28,27,27,25,24,-14,0,-50,16,21,26,31,32,31,166,165,166,51,51,73,72,13,13,16,18,17,28,25,29,14,25,33,42,3050,27.45454597,1.694912076
7.010000229,7.739999771,6.610000134,188,313,127,-144,47,55,47,1.0,22,23,22,23,28,30,29,30,30,30,29,-14,0,-50,14,19,25,29,30,29,166,166,167,46,47,53,53,8,8,13,16,12,32,21,26,10,20,31,43,3050,26.90909004,3.562430382
4.889999866,5.010000229,4.860000134,0,2,0,-286,15,32,10,1.0,28,28,30,30,31,31,30,32,32,31,30,-14,0,-50,23,26,30,39,40,38,165,165,166,34,34,32,31,16,16,18,24,18,35,28,32,17,20,31,40,3050,30.27272797,1.348399758
9.069999695,9.479999542,8.569999695,585,669,467,-76,58,59,49,1.0,15,17,16,17,17,16,15,17,16,22,20,-14,0,-50,11,13,23,27,27,26,166,166,167,49,50,59,59,5,5,10,13,8,29,17,23,5,15,22,31,3050,17.09090996,2.119176388
10.14000034,11.93999958,8.0,912,1619,347,220,64,81,47,1.0,32,33,32,33,34,32,32,33,32,30,30,-14,0,-50,22,28,32,37,37,36,166,165,166,54,54,72,71,18,18,21,25,23,31,29,34,21,31,38,46,3050,32.09090805,1.221027851
